Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
22,Mikal Bridges,29,NYK,SF,17,17,599,19.0,.636,.451,.162,3.5,11.2,7.2,17.9,2.9,3.6,8.0,16.4,1.5,0.9,2.4,.192,3.3,2.4,5.7,1.2,,bridgmi01
23,Derrick White,31,BOS,SG,18,18,594,16.0,.494,.571,.198,3.1,10.6,6.8,21.6,2.7,3.8,7.9,22.8,0.5,0.8,1.3,.106,1.2,1.3,2.5,0.7,,whitede01
24,Pascal Siakam,31,IND,PF,17,17,593,18.5,.562,.281,.442,4.3,16.9,10.3,24.2,1.7,1.2,10.6,28.0,0.6,0.5,1.1,.086,2.4,-0.4,2.0,0.6,,siakapa01
25,Nikola Jokić,30,DEN,C,17,17,592,36.7,.729,.282,.395,11.3,28.5,20.5,51.6,2.2,2.0,14.6,29.0,4.0,1.1,5.1,.413,12.8,5.4,18.2,3.0,,jokicni01
26,Keyonte George,22,UTA,PG,17,17,589,17.9,.590,.408,.419,1.8,11.2,6.4,33.0,1.4,0.7,14.3,27.0,1.1,0.1,1.2,.098,2.4,-1.7,0.7,0.4,,georgke01
27,Jaylen Brown,29,BOS,SF,18,18,585,22.0,.580,.267,.301,3.5,15.9,9.6,24.0,1.5,1.2,12.4,36.6,0.8,0.6,1.4,.114,3.3,-0.8,2.5,0.7,,brownja02
28,Payton Pritchard,28,BOS,PG,18,18,585,16.5,.576,.585,.174,3.5,10.9,7.2,21.8,1.1,0.2,8.5,20.8,1.3,0.4,1.7,.139,2.0,-0.9,1.1,0.5,,pritcpa01
29,Alperen Şengün,23,HOU,C,16,16,585,20.8,.565,.177,.400,9.2,19.4,14.4,28.5,1.5,2.4,14.8,25.8,1.4,0.8,2.2,.180,4.1,1.4,5.5,1.1,,sengual01
30,Amen Thompson,23,HOU,SF,16,16,585,16.4,.540,.157,.278,7.7,13.2,10.5,19.5,2.0,1.2,12.5,20.8,1.0,0.7,1.7,.139,0.6,0.6,1.2,0.5,,thompam01
31,Rudy Gobert,33,MIN,C,18,18,582,15.3,.689,.000,.583,12.3,22.5,17.5,7.4,0.7,4.9,19.6,12.2,0.9,0.9,1.8,.145,-1.2,0.5,-0.7,0.2,,goberru01
32,Donovan Mitchell,29,CLE,SG,17,17,578,24.4,.643,.506,.327,2.6,12.9,7.6,28.3,2.0,0.9,12.2,32.2,1.6,0.7,2.3,.190,6.6,0.5,7.1,1.3,,mitchdo01
33,Jalen Johnson,24,ATL,SF,17,17,576,22.2,.630,.224,.319,3.7,27.1,15.5,31.6,2.3,1.1,15.5,25.3,1.1,1.0,2.1,.174,3.1,1.7,4.8,1.0,,johnsja05
34,Royce O'Neale,32,PHO,SF,19,15,574,12.1,.616,.825,.058,3.1,16.4,9.7,12.2,1.9,0.7,13.8,14.8,0.6,0.7,1.3,.112,0.2,0.5,0.7,0.4,,onealro01
35,Duncan Robinson,31,DET,SF,18,18,574,11.4,.631,.795,.169,1.5,8.1,4.8,7.9,1.3,1.0,6.8,13.7,0.9,0.5,1.5,.124,-0.1,-0.2,-0.3,0.2,,robindu01
36,Myles Turner,29,MIL,C,19,19,572,14.9,.585,.581,.241,4.5,20.6,12.6,8.0,1.7,5.5,10.2,17.9,0.4,0.7,1.1,.091,-0.2,0.4,0.2,0.3,,turnemy01
37,Ivica Zubac,28,LAC,C,18,18,572,21.0,.629,.000,.206,13.9,28.0,21.1,13.2,0.8,2.9,12.5,20.9,1.2,0.4,1.6,.136,1.8,-1.4,0.4,0.3,,zubaciv01
38,Davion Mitchell,27,MIA,PG,19,19,570,13.0,.584,.347,.204,1.5,8.1,4.9,31.1,1.9,0.2,15.8,13.5,0.8,0.7,1.6,.131,-1.4,1.4,0.0,0.3,,mitchda01
39,Max Christie,22,DAL,SG,19,16,568,12.3,.660,.621,.201,0.4,11.8,6.1,11.4,0.8,1.4,11.5,15.3,0.6,0.7,1.3,.109,-0.4,0.4,0.1,0.3,,chrisma02
40,Zach LaVine,30,SAC,SG,17,17,568,13.6,.621,.482,.233,0.8,10.3,5.4,10.1,1.0,0.3,13.0,23.7,0.2,0.0,0.3,.022,-0.2,-2.5,-2.7,-0.1,,lavinza01
41,P.J. Washington,27,DAL,PF,18,18,567,12.8,.529,.363,.316,4.2,20.9,12.7,12.0,1.4,3.2,15.0,23.1,-0.6,1.0,0.4,.035,-2.4,0.9,-1.5,0.1,,washipj01
42,Karl-Anthony Towns,30,NYK,C,17,17,567,21.4,.589,.351,.439,10.0,31.7,20.3,14.6,1.3,2.6,12.2,26.9,1.3,0.8,2.1,.178,2.3,-0.1,2.2,0.6,,townska01
43,Devin Vassell,25,SAS,SG,17,17,567,11.3,.543,.542,.146,1.4,10.8,6.3,10.0,1.6,1.1,8.1,18.4,0.3,0.7,1.0,.084,-1.4,-0.1,-1.5,0.1,,vassede01
44,Jaime Jaquez Jr.,24,MIA,SF,19,0,565,16.6,.584,.138,.302,5.1,15.7,10.7,25.2,1.0,0.7,13.2,21.7,0.8,0.8,1.6,.132,0.5,0.9,1.4,0.5,,jaqueja01
45,Jimmy Butler,36,GSW,SF,18,18,564,24.7,.666,.177,.665,7.7,11.9,9.8,25.1,2.6,0.8,8.5,22.1,2.5,0.7,3.2,.270,5.3,1.3,6.6,1.2,,butleji01
46,Brandin Podziemski,22,GSW,SG,20,8,563,12.9,.566,.477,.264,2.1,15.7,8.9,15.2,2.1,0.8,10.8,18.1,0.4,0.7,1.1,.093,-1.4,0.6,-0.7,0.2,,podzibr01
47,Jamal Murray,28,DEN,PG,16,16,562,20.0,.596,.403,.226,1.5,12.4,7.3,28.0,1.6,0.8,10.6,26.3,1.3,0.6,1.9,.164,3.6,-0.9,2.8,0.7,,murraja01
48,Donte DiVincenzo,29,MIN,SG,18,18,561,13.6,.607,.769,.258,2.8,10.9,6.9,14.5,1.8,1.3,11.8,17.2,0.8,0.6,1.4,.124,0.7,0.2,0.9,0.4,,divindo01
49,VJ Edgecombe,20,PHI,SG,15,15,560,11.7,.503,.380,.176,6.0,11.7,8.8,16.1,1.6,1.1,11.1,19.5,0.1,0.4,0.5,.045,-1.9,-0.6,-2.5,-0.1,,edgecvj01
50,A.J. Green,26,MIL,SG,19,19,547,10.8,.711,.911,.156,0.2,10.6,5.4,9.0,0.9,0.2,8.8,12.6,0.9,0.2,1.1,.097,-0.8,-1.2,-2.0,0.0,,greenaj01
51,Cade Cunningham,24,DET,PG,15,15,545,22.1,.553,.296,.372,4.1,14.2,9.2,40.6,1.7,2.0,12.4,32.9,1.2,0.7,1.9,.167,4.5,0.2,4.8,0.9,,cunnica01
52,Jaden McDaniels,25,MIN,PF,17,17,544,15.2,.632,.293,.217,4.3,12.2,8.4,10.8,1.8,3.0,13.9,19.5,0.7,0.7,1.4,.120,-0.5,0.5,0.0,0.3,,mcdanja02
53,Nickeil Alexander-Walker,27,ATL,SG,17,14,542,15.2,.592,.464,.315,2.5,8.3,5.4,16.4,1.3,2.6,12.4,23.9,0.4,0.5,0.9,.081,0.4,-1.2,-0.8,0.2,,alexani01
54,Gary Trent Jr.,27,MIL,SG,19,13,539,8.9,.555,.698,.136,0.2,5.5,2.8,9.0,1.8,0.2,8.7,15.8,0.0,0.3,0.3,.027,-2.8,-1.1,-4.0,-0.3,,trentga02
